target,rank,word,freq,target_occurrences
Refugies,1,украина,222,1544
Refugies,2,регион,208,1544
Refugies,3,прибыть,183,1544
Refugies,4,помощь,182,1544
Refugies,5,прибывать,168,1544
Refugies,6,донбасс,151,1544
Refugies,7,рф,138,1544
Refugies,8,российский,129,1544
Refugies,9,размещение,127,1544
Refugies,10,поручение,126,1544
Refugies,11,путин,119,1544
Refugies,12,пункт,119,1544
Refugies,13,область,118,1544
Refugies,14,принять,118,1544
Refugies,15,россия,118,1544
Refugies,16,президент,115,1544
Refugies,17,владимир,107,1544
Refugies,18,число,107,1544
Refugies,19,млн,98,1544
Refugies,20,временной,96,1544
Refugies,21,выплатить,95,1544
Refugies,22,территория,86,1544
Refugies,23,прием,81,1544
Refugies,24,днр,76,1544
Refugies,25,февраль,76,1544
Refugies,26,человек,73,1544
Refugies,27,донецкий,72,1544
Refugies,28,дело,72,1544
Refugies,29,оон,71,1544
Refugies,30,ребенок,70,1544
Benevoles,1,помощь,55,327
Benevoles,2,житель,35,327
Benevoles,3,помогать,34,327
Benevoles,4,область,32,327
Benevoles,5,человек,30,327
Benevoles,6,гуманитарный,29,327
Benevoles,7,работа,26,327
Benevoles,8,центр,26,327
Benevoles,9,работать,24,327
Benevoles,10,медик,23,327
Benevoles,11,пункт,18,327
Benevoles,12,сотрудник,16,327
Benevoles,13,вместе,15,327
Benevoles,14,единый,15,327
Benevoles,15,организация,15,327
Benevoles,16,штаб,15,327
Benevoles,17,время,15,327
Benevoles,18,ростовский,14,327
Benevoles,19,донбасс,14,327
Benevoles,20,встречать,14,327
Benevoles,21,россия,14,327
Benevoles,22,ребенок,13,327
Benevoles,23,готовый,12,327
Benevoles,24,партия,12,327
Benevoles,25,регион,12,327
Benevoles,26,психолог,12,327
Benevoles,27,февраль,11,327
Benevoles,28,общественный,11,327
Benevoles,29,сообщение,11,327
Benevoles,30,ростов,11,327
Ukraine,1,военный,370,2152
Ukraine,2,операция,358,2152
Ukraine,3,специальный,345,2152
Ukraine,4,территория,328,2152
Ukraine,5,проведение,309,2152
Ukraine,6,донбасс,298,2152
Ukraine,7,россия,248,2152
Ukraine,8,республика,230,2152
Ukraine,9,беженец,222,2152
Ukraine,10,человек,216,2152
Ukraine,11,сторона,208,2152
Ukraine,12,прибыть,207,2152
Ukraine,13,февраль,185,2152
Ukraine,14,днр,175,2152
Ukraine,15,лнр,174,2152
Ukraine,16,обращение,145,2152
Ukraine,17,гражданин,143,2152
Ukraine,18,сообщить,137,2152
Ukraine,19,район,137,2152
Ukraine,20,последний,127,2152
Ukraine,21,рф,126,2152
Ukraine,22,руководитель,124,2152
Ukraine,23,ответ,122,2152
Ukraine,24,народный,118,2152
Ukraine,25,месяц,115,2152
Ukraine,26,опасный,115,2152
Ukraine,27,вооружить,113,2152
Ukraine,28,обстрелах,112,2152
Ukraine,29,президент,111,2152
Ukraine,30,область,111,2152
Russie,1,февраль,582,2841
Russie,2,область,550,2841
Russie,3,ростовский,494,2841
Russie,4,президент,456,2841
Russie,5,владимир,433,2841
Russie,6,территория,430,2841
Russie,7,путин,428,2841
Russie,8,республика,386,2841
Russie,9,житель,383,2841
Russie,10,сутки,365,2841
Russie,11,донбасс,364,2841
Russie,12,эвакуация,318,2841
Russie,13,регион,309,2841
Russie,14,заявить,291,2841
Russie,15,истечь,250,2841
Russie,16,украина,248,2841
Russie,17,человек,235,2841
Russie,18,пункт,230,2841
Russie,19,единый,217,2841
Russie,20,мчс,205,2841
Russie,21,частность,199,2841
Russie,22,служба,198,2841
Russie,23,граница,192,2841
Russie,24,пресс,187,2841
Russie,25,управление,181,2841
Russie,26,фсб,167,2841
Russie,27,пограничный,166,2841
Russie,28,пересечь,161,2841
Russie,29,пропуск,160,2841
Russie,30,въезд,154,2841
